"";"judet";"nemultumiti_per";"nemultumiti_nr";"tur1_amaritei";"tur1_branza";"tur1_diaconescu";"tur1_funar";"tur1_kelemen";"tur1_macovei";"tur1_melescanu";"tur1_ponta";"tur1_rotaru";"tur1_szilagy";"tur1_tariceanu";"tur1_udrea";"tur1_vadim"
"1";"harghita";1;16979;1,72029968480717e-16;-1,64795567026648e-16;1,4332241117002e-17;-1,0410004863445e-15;0,832422156235384;0,596270009272602;-1,74001443889622e-16;-2,45684096650434e-17;-1,84470380700086e-15;1;0,982577580523157;1;-1,08549515069282e-16
"2";"strainatate";0,940897423426961;204743,983824824;-1,05221259296182e-15;0,338878842675661;0,862045808135693;1;0,999999999999999;1;3,33205593142201e-16;0,217132780149623;1;1;0,941698891474353;1;1
"3";"covasna";0,923305024907466;14026,8499383942;-3,81346937464433e-16;3,23528249720533e-17;1,50449891666658e-16;0,574104745150292;0,879749536756249;1;0,900023255887974;0;0,677134804659946;1;1;1;2,70740393180864e-17
"4";"cluj";0,910054646824524;79526,9454220547;0,384962186581431;0,895312663109162;0,510162094840066;0,529176272639962;0,978710094232956;1;0,540890232304185;0;0,731911927595186;0,983233221640427;0,196313679221835;1;0,562647442313354
"5";"sibiu";0,877751783805907;27726,423346861;-2,35607460002893e-17;0,745117274403107;0,923684680405078;1;0,938135182599872;0,763453879018886;0,448717942680142;0,0340323646451398;1;1;0,083525716441475;1;0,921099114193373
"6";"alba";0,864670159738114;30958,6503992634;2,39273010276169e-16;1;0,693355350887182;0,566183880396618;0,988221334570124;1;0,958008075346879;9,22594941444016e-21;1;1;0,0355139303974234;1;0,395408177266349
"7";"satu mare";0,854576654973678;28667,628467747;5,56705324640752e-17;0,39480474569118;0,911970364595494;0,64560131538392;0,913050723775239;0,962510472516396;0,780197859328714;0;0,0626023055922785;0,921250785100627;0,475058093952595;0,58927550053089;0,158992010459887
"8";"salaj";0,838638260088484;17036,9362536975;0,56851888792754;1;0,419020907312208;-2,08377961920858e-19;0,829062955114713;1;1;2,55291114679264e-19;0,641355462636698;1;0,205950207691682;0,912941917795864;0,572525124154737
"9";"mures";0,833322230253163;43416,0881961898;0;0,391156354381359;0,500880491965276;0,655211560880013;0,840992261495398;0,867158893581706;0,554902197443306;1,1441094597107e-20;0,196317627470931;1;0,436202251765274;1;0,933164331961278
"10";"bihor";0,829698141458863;49058,3917081796;-9,72453900149947e-17;0,278375154981932;0,132900261680769;1;0,815988951281307;1;1;0;-1,76983115329192e-15;1;0,34408402484981;1;0,625206188289342
"11";"hunedoara";0,825799411979726;28970,6949710728;1;0,669510356697339;0,00391443321191594;1;0,978760152359256;1;1;1,55147380110695e-18;1;0,999999999999999;0;1;0,254819648109526
"12";"arad";0,793132400072937;37967,2479914915;1,33449372160143e-16;1;0,384001383262256;1;0,953591007924211;1;0,676315386421975;0;-8,91429813129477e-17;0,999999999999999;0,0841105299442496;1;0,827977592188663
"13";"bistrita-nasaud";0,772488750385429;22794,5980463732;0,738230433817488;1;1;0,677192116567552;0,772595460572544;1;1;0;0,999999999999999;1,41370716999316e-16;-1,23935866449227e-17;1;1
"14";"brasov";0,745566540314925;39714,8384694954;1;0,524596986733582;0,167483879310189;1;0,899699580200064;1;0,643666255850128;0;1;1;0,280935451912232;1;1
"15";"constanta";0,713747367034503;43328,0339158295;9,63478460857798e-17;0,432269381040392;0,55578225326948;0,257088292276408;1;1;0,726371576353896;7,12421592242421e-20;0;0,295911239163593;0,289619023265684;1;0,840864004414419
"16";"timis";0,699629944527938;52111,236788219;1;0,143475588628003;1;0,836042824374958;1;1;1;0;1;0,774063286365861;0,340648673786871;1;0,912488876619229
"17";"bucuresti";0,690430678558248;137653,235676194;-1,6914756108227e-16;0,766192606404696;0,313903800205573;0,704537514087787;0,158058412856033;1;0,434426449390194;0;0,328834982510336;1,19215354575998e-17;0,362936640341934;0,966170755027051;0,512618401346732
"18";"tulcea";0,688341105497488;12603,525641659;-1,76847663055251e-16;0,214229283987411;0,55684305220792;0,988767497779504;0,763123627133226;0,961192947012797;0,856638787341806;1,00499335413762e-19;5,38628653367415e-16;1;0;1;1
"19";"ilfov";0,676972125002393;31328,2390287357;1;1,17299006858236e-15;0,360163825478468;-6,76563774385679e-16;1;1;1;0,0598411248358565;-8,07143609615197e-16;1,36941928283078e-16;0,189191670449595;0,623663172711434;0,6270637852029
"20";"maramures";0,670502888142156;36510,8937680048;-3,09750428403508e-16;0,375369661672589;0,832288272794888;0,999999999999999;0,868149623684858;1;1;0;0,338429552405534;0,978753689081529;0,633026455581021;1;0,367299363546545
"21";"braila";0,653028447667567;16613,6967371106;1;0,319534169276543;0,26256616847397;1;1;1;0,73291856543153;0,00426448041469167;1;1;0,0742414188204281;1;0,88830161292331
"22";"prahova";0,640668734939571;45588,0651720951;1;0,744849567774135;0,420247592989033;0,783338336573777;1;1;1;1,6714219842703e-20;6,29854110835759e-16;0,788165370003804;0,242120695605556;0,87979255122017;0,994521778422122
"23";"suceava";0,626291124768981;35774,375337929;0,655517954872142;1;0,601020671925709;0;1;1;0,48565363993363;-4,82922339268503e-19;0,507454929837759;1;0,442227993537487;1;0,616339708334827
"24";"galati";0,610769009439224;28844,1772397768;0,696301407340016;-4,64718431710943e-18;0,603302524914644;-1,26466970892842e-16;0,952166419781193;1;0,585786556068196;-8,4738540281124e-19;6,72613795462599e-17;-1,82043448525799e-16;0,460811559919477;1;0,614970306353972
"25";"calarasi";0,598635816515028;17745,361508955;0,999999999999999;-2,45731680488614e-16;0,527035335596791;-2,16382482721573e-16;1;1;3,85940393795658e-17;0;0,498497464574443;1;0,133504516837116;1;0,659961277232798
"26";"vrancea";0,593904203925944;15319,1650360658;-1,88592246415403e-16;-1,02035987615027e-16;0,538529955275825;5,02774558690622e-17;1;1;0,861227702402424;0;0,697115058700882;0,999999999999999;0,26961763542408;1;1
"27";"caras-severin";0,593169387201793;15174,4592633963;1;0,899107686736362;0,876890484416571;1;0,67322737336609;1;1;0;0,578942786791538;1;0,290765137695161;1;0,369890272117026
"28";"valcea";0,572228201377628;23241,6206271537;1;1;0,340141144952192;1;0,141450679112398;1;1;-1,23517176078864e-20;0,952667506866658;1,28240635518524e-15;0,392391730989864;0,810456969924485;0,826147174447082
"29";"neamt";0,547501460763579;19051,955831651;1;1;0,385342866608384;1;1;1;1;0;1;1;0,151477760816527;0,989980346864701;0,939187987653464
"30";"bacau";0,52871520962676;21790,9973647669;0,880501512060657;1;0,872636928188513;0,861017612442045;1;1;1;0;1;1;0,150110029091194;1;0,903341595504257
"31";"olt";0,513159372691978;19973,7022632898;1;0,877663819678484;0,462471168742545;6,76820574645247e-18;0,985342502432005;0,809775325396626;1;0;-1,10592661927599e-16;1;0,425416570637098;0,977649431359509;0,728694249875712
"32";"giurgiu";0,447055441168672;11572,0300946511;1;1;0,111411653923456;1;1;1;1;0;1;1;0,0770189700904339;1;1
"33";"dambovita";0,440663624572979;20890,5404501312;0,59860738552012;1;0,291516225227818;0,993248166598172;1;1;1;0;1;0,510920559070209;0,421846654934406;1;1
"34";"iasi";0,427768358047402;28834,5817109012;3,94773178166848e-17;1;0,643797918467072;0,464857452333701;0,999999999999999;1;1;-2,69501083156231e-20;0;0,297424765062911;0,607036443557896;1;1
"35";"arges";0,427148745263212;27755,6983184582;5,73532767463822e-16;0,719886566574926;0,32893638249667;1;1;1;1;0;0,770473101821368;0,948043118450007;0,333698668184371;1;0,80691846211234
"36";"gorj";0,425450653043349;13899,4728349262;1;-1,08220506054193e-16;0,684663282390531;2,26897519314765e-16;0,817308958192167;1;1;0;0,502659467432294;1;0,353391379442228;0,959779712832527;0,669090905903779
"37";"vaslui";0,422407522805232;13675,0211432966;1;1;0,68664879312655;1;0;1;1;-3,12695312893401e-19;0,00376904863822521;0,999999999999999;0,510349259618917;0,806677254369302;1
"38";"dolj";0,407061918726141;26307,1906215143;1;1;0,66275433646772;1;0,274430629494755;1;1;0;-1,79664711906355e-15;1;0,407345827380942;1;1
"39";"ialomita";0,401113703675404;9982,11562966611;-5,61711638648571e-16;1;0,534722645526311;1;1;1;0,932812509801143;3,46944695195361e-18;0,509318846362497;0,412739574364108;0,318084406952556;0,862399952504569;0,904951023392568
"40";"buzau";0,391598832044419;16368,0479817926;4,0938963956768e-16;1;0,514263594570279;0,895271349816435;1;1;1;3,52349434927298e-20;1,55144843682335e-16;1,65221103410133e-17;0,348181309961665;1;0,921368181506326
"41";"botosani";0,372292757187055;12317,6781642909;1;0,613251157969941;0,650764686483641;1;1;1;0,303730708804996;0;0,351057979477563;0,903241578160429;0,211055480694546;0,952308842271036;0,886381484696689
"42";"teleorman";0,351480321479571;10689,5710171582;1;1;0,636942772660005;1;1;1;1;0;0,903896768294654;1;0,364231978245829;0,91581592880827;0,700904278989004
"43";"mehedinti";0,333247973886533;7397,43852433326;1;0,174773103701482;0,850492477490877;0,389599311823135;0,92199294772708;1;0,53631264403716;0;-2,40520873332202e-16;0,10595561515864;0,449057652610742;1;0,968277394933993
