"";"judet";"localitate";"nemultumiti_per";"nemultumiti_nr";"tur1_amaritei";"tur1_branza";"tur1_diaconescu";"tur1_funar";"tur1_kelemen";"tur1_macovei";"tur1_melescanu";"tur1_ponta";"tur1_rotaru";"tur1_szilagy";"tur1_tariceanu";"tur1_udrea";"tur1_vadim"
"1";"bacau";"comanesti";1;1004;-1,31745003166715e-15;4,5806238492679e-17;0,261197179606193;-5,83763180030777e-16;0,228525665524301;1;0,999999999999999;1,06661799131199e-17;1;1;0,253379381872846;1;0,18459083954717
"2";"harghita";"odorheiu secuiesc";0,994695230633445;4126,99051189816;-2,22277845896559e-14;1,13730873861015e-15;-1,47749571119162e-16;0,585846649782013;0,851361458773833;1;0,999999999999997;-2,02588121168076e-17;1,54741875166071e-15;1;0,999999999999999;0,461254359431269;-6,90434887961295e-16
"3";"cluj";"floresti";0,985468869417406;4078,85565051864;-1,13596208128796e-15;1,01448260193235e-14;-1,60736922509827e-16;1;1;0,9481803813984;1,10969251752143e-16;-3,17688009722802e-17;0,999999999999997;1;0,354629812544345;0,824239641366588;0,255115242918151
"4";"cluj";"turda";0,984640825542917;4527,37851584633;0,169282440833808;1;0,294907429140112;0,917537622206135;0,867194776364042;0,499435717109035;-4,20253133469669e-19;0,167400155125214;1;1;0,333969597079374;0,578721211857752;0,279334833588099
"5";"alba";"blaj";0,960853945541708;1138,61192546692;1;2,3413499663101e-15;0,601627644103393;1;0,968447934900038;0,940416286832477;1;0;1;1;2,69999069890512e-19;1;0,851306114955222
"6";"satu mare";"satu mare";0,960718752566485;11096,3015921429;-4,74400953066356e-16;1;0,788685568286194;0,519197555969864;0,89739146263573;0,532470890096641;1;0,0029572620112913;1;1;0,297609007788475;0,592122791875788;0,227012122451418
"7";"alba";"aiud";0,950873553942194;2384,79087328702;1;1,96625211258204e-15;0,522930081602228;1,61641692574438e-17;0,71018110309393;1;-1,536870915085e-15;-1,34545070230358e-17;6,18821748287759e-16;1;7,99403085010945e-19;0,898493141821363;0,68909793081946
"8";"strainatate";"republica moldova";0,950602156784799;12942,448364625;1;1,00000000000001;1,00000000000001;1,00000000000001;0,999999999999998;1;0,999999999999999;0,189632304712663;1,00000000000001;1;1;1;1
"9";"strainatate";"sua";0,944530620204617;10829,9880912661;7,63830385591959e-15;1;1;2,00954494303473e-15;2,94536198717194e-16;1;0,352590508794155;0,253335306279744;0,999999999999999;-2,75887809866631e-15;0,641772318938359;1;2,18397043044135e-16
"10";"strainatate";"spania";0,93748620872917;46859,3106571188;1,00000000000001;0,999999999999999;0,752798699201159;1;0,999999999999999;0,882769141088038;1;0,587310149229202;1;-1,99013977777674e-15;6,602543751851e-16;1;0,324633799413785
"11";"maramures";"borsa";0,930219850334715;2339,50292359181;-1,03734698190543e-17;-3,34059141128454e-17;0,83827001203471;0,383227052514449;0,258231040076041;0,445156921418541;0,918661062074742;-1,16733273718272e-17;0,145166802552774;1;0,294744681353032;1;0
"12";"covasna";"targu secuiesc";0,928791296309374;1701,54565483877;-1,25687230196241e-16;4,32798512324888e-15;-5,79124025716366e-16;0,405167623352804;0,941423790520235;-9,08195108076195e-17;1;0,237248969429217;-5,57092986913834e-16;0,806928537770624;1;1;1
"13";"sibiu";"medias";0,914272550340806;3382,80843626098;2,76570397454568e-16;1;1;1;0,729604500821562;0,595810535757568;0;0,0837931792949304;0,922090940084381;0,904122087119057;0,298540596624289;0,523731901760755;1
"14";"strainatate";"italia";0,904688149024476;55470,9538574358;-8,97169959164829e-16;0,133268731021878;0,473788311867317;8,08316224013846e-16;0,999999999999999;1;2,23784528833883e-16;0,802789669366726;1;0,172728259832639;-2,276944924055e-16;1;1
"15";"mures";"sighisoara";0,900577191679982;2761,16966969082;-2,67602346007572e-16;0,999999999999999;1;1;1;0,797247836571041;1;-6,63071002667805e-19;1,02224098595675e-16;1;4,31578794076568e-18;0,726060727722926;1
"16";"cluj";"cluj-napoca";0,896337156711217;38555,942795933;1;1;0,693520852445216;0,603176851897478;1;1;0,62742773738566;1,88884348924714e-18;2,3255529027967e-17;0,809462414251217;0,116593751500466;1;0,957542455835967
"17";"brasov";"codlea";0,89511591422695;1749,95161231369;4,89925934787106e-16;3,33229611989878e-16;-1,21656631904364e-16;2,24382301428737e-16;0,108369753801344;1;1;0;-1,65538191176317e-15;-5,82192669401735e-15;0,46123897427369;1;0,559244311738189
"18";"cluj";"gherla";0,880606483614291;2134,59011628104;0,999999999999997;5,15586558882378e-16;0,327956866450576;0,50843557496073;1;0,664122632911593;0,0723553323827695;-5,54507379907965e-18;1;-1,38150129868933e-16;0,70269144888379;1;6,02552490056553e-17
"19";"alba";"alba iulia";0,879330640255209;6004,94894230282;-3,21940477920174e-16;0,886960758306278;0,76884903361672;0,152346833198588;1;0,833306696230171;0,197128192225847;0,0555844209617593;1;-8,32477000601035e-16;0,0590864739899692;1;1
"20";"sibiu";"sibiu";0,878387207793916;10456,3213215788;3,51002893785572e-17;1;1;1;1;0,769046306510509;0,852566309683694;0,0447396583987508;0,166442402012436;-1,63715425498304e-17;0,0958334392349232;0,889608072888164;0,487682298664206
"21";"hunedoara";"deva";0,868103565398903;4954,26704773154;1;1;0,343232311574134;5,8730161862466e-17;0,761841465439698;0,54426727575288;0,459686956031085;-2,50613492819472e-19;0;0,782637946009043;0,321389262322318;1;0,757770011779063
"22";"covasna";"sfintu gheorghe";0,863175524528072;5473,39600103251;1;2,20588929626037e-16;-1,36187526934227e-16;1,6979690730423e-17;0,981252853417342;1;1,61679644793489e-16;7,11260169040607e-18;4,64036166805388e-16;1;0,637488583319633;1;0,143887398674955
"23";"teleorman";"turnu magurele";0,849261599149427;1519,32900087833;-8,23625521674125e-18;1;0,0079104694093672;0,110148354185494;1;1;0,125052670900542;-4,21042308387298e-18;1;1;2,78012529506802e-17;0,764222330487201;1
"24";"mures";"tarnaveni";0,845362472735207;1809,07569165334;5,10767925109973e-16;0,237708755189244;0,616658901503386;-7,13331954395569e-17;0,658035660132366;1;0,0972465325058154;-1,73472347597681e-18;1;1;1;0,611827896363893;1
"25";"harghita";"miercurea ciuc";0,84120076582156;3376,57987400774;0,999999999999998;6,86487096270844e-16;9,26464923242088e-17;-5,12713428404247e-16;0,970331227864447;0;1,15509565035244e-15;-3,32884781298368e-17;3,73089575395126e-16;0,964711774843001;0,725381370775821;1;-4,88363176727924e-17
"26";"mures";"reghin";0,824449861484529;3173,30751685395;1;-2,1462468467779e-16;0,417345954037731;1;0,828355331287139;0,967456230964057;0,842647790252202;-1,62083642724405e-18;-4,87051824152388e-16;0,991588416231729;1;0,811948837052865;1
"27";"satu mare";"carei";0,81671721597937;1916,0185886876;-1,89585043987173e-15;-9,04755300887816e-17;-1,73311334543922e-16;-1,2940656064018e-15;0,827246609504115;0,278029371690578;1;0,19252234489318;-7,29336301832958e-17;5,0573128327083e-17;0,652082223624903;0,856638446717882;1
"28";"bistrita-nasaud";"bistrita";0,808027253906273;6852,0711131252;3,00262103045334e-16;1,15388789305911e-16;1;1;0,867957085837172;0,851654448971664;1;0;0,999999999999999;0,330874587241896;0,158477242135369;1;1
"29";"maramures";"baia mare";0,79694046168394;11930,1987114086;0,999999999999999;-2,51857015005861e-16;0,669789672343722;0,606475077643264;1;1;0,798988698407628;0;1;1;0,0140679620616987;1;0,848365682380475
"30";"bihor";"oradea";0,790169519482494;18809,9854112808;2,73649223721311e-16;1;0,466532321722567;0,721948350484618;1;0,886731512227836;0,68533838396395;0;1,56701791223591e-17;1;0,182501556525353;1;1
"31";"arges";"curtea de arges";0,784371643887459;1938,18233204591;6,17409349042124e-15;-1,28500522777263e-16;0,653247322482127;1;2,13905106961581e-16;0,542326352482649;-3,04876250373207e-16;0;1;1;0,267083263823276;0,433381347936319;0,955825151368025
"32";"iasi";"iasi";0,783637291011044;20907,4429241747;4,33552507302377e-18;0,634539935802038;0,354349916058249;0,303816740359119;3,36561219389631e-16;1;0,691190477956454;-1,6094430752567e-18;0;1;0,247505384463837;0,853698956917301;1
"33";"cluj";"dej";0,77934347468272;3083,86212931952;1;0,999999999999999;0,105322259945155;1;0,8323824530821;0,333073071072225;0,396590789588066;0;-1,01173995906249e-15;1;1;0,868671272385447;1
"34";"timis";"timisoara";0,771499137146563;26407,6439653897;0,996505674859474;5,69424450829697e-18;1;0,768530043374245;0,994502637556901;0,991772796003536;0,745644822878492;0,0348503793028579;0,977900991913844;1,17969842486663e-16;0,185224986910459;0,872907704431306;1
"35";"timis";"lugoj";0,759134519173586;3447,22985156725;1,1024463091263e-15;7,72650675694408e-17;0,9320359186091;1;0,591884508438148;0,772075669748253;0,550120453611961;0;0,244009084699814;1;0,250753953216387;1;1
"36";"bihor";"salonta";0,757784242142687;750,964183963403;3,13649430687428e-15;1,03018426933638e-16;0,34124085236989;0,599083804201534;0,94533622731747;1;0,999999999999999;0,0175729139816072;-1,96221989659664e-17;0,223070979724827;0,999999999999999;1;0
"37";"constanta";"constanta";0,749465660638034;20311,2688689513;1,23049249895088e-16;0,626834774189794;0,499343851971325;0,000515431004283855;1;1;0,640479183561387;-1,73472347597681e-18;5,30058650197478e-16;1;0,214040513565082;1;0,922760502148274
"38";"mures";"tirgu mures";0,746754042029219;10571,0502189656;-1,87824948311214e-16;0,385973210347865;1;1;0,71526489981161;0,923911112679216;0,224118538803075;0,0640993423686026;0,225675239970545;1;1;1;0,726703412196665
"39";"maramures";"tirgu lapus";0,745550573174894;1045,2619035912;1;0,999999999999999;0,694844879519384;0,389891267917302;1;1,61642633419077e-16;1;0;1,33231922084893e-15;1;0,305279221351352;1;0,257877919045375
"40";"tulcea";"tulcea";0,74227759962975;4874,53699676857;1;1;0,456317666478877;1;0,05716670178965;0,743199854724589;1;9,39278043184643e-19;1;1;0;1;1
"41";"arad";"arad";0,741152862779892;13604,6019491877;-1,81930536989562e-15;1;0,763866551024072;1;1;0,900508112618446;1;0;0,0957137407211605;1;0,0220001860901583;1;1
"42";"bacau";"bacau";0,740197123164755;8646,24259568751;1,22174343537262e-16;0,399876177164591;0,483169815588387;-1,2213851245079e-16;-6,66697658370038e-18;1;0,551784637331421;8,06791259961918e-19;1,31056660692288e-16;0,611173497952295;0,313843002115601;1;0,920558115072172
"43";"suceava";"radauti";0,737979310128923;1663,40536503059;1,00000000000001;0,999999999999999;1;-5,89278202178889e-16;0,999999999999998;0,856651230474637;0;-2,56013869517342e-18;1;-1,02614792329981e-14;0,129863672576931;0,660814124865087;0,951570652650809
"44";"dambovita";"moreni";0,731661035098406;1011,8872115411;1,86136235603473e-15;0,179649819475882;0,179078436215345;1;-1,64635753871562e-16;0,609395475133108;1;0,00343297323035179;1;1;0,381551664536192;1;1
"45";"vrancea";"focsani";0,731594594318274;4473,70094425625;-1,12896125223582e-16;0,326485441262022;0,787097285729168;0,202298357758605;1;1;0,970430752468852;1,56989728712798e-19;0;-1,58805316607588e-16;0,161795810676185;0,802650431431648;0,660250051663687
"46";"bucuresti";"sector3";0,729706782156454;29694,6877930747;1;0,736206077637014;0,23888630935691;0,887539550973009;0,270769189085646;1;0,355147171319535;0;1;-1,43121277969318e-17;0,296358276988339;1;0,570143202703545
"47";"bucuresti";"sector1";0,729371106987779;17854,2753279539;1,88102617668418e-16;0,441993267580894;0,369463827645625;0,823766970637968;1;1;0,439479445170516;1,51218490921105e-18;-7,72783546763142e-17;-2,55145715212919e-16;0,370390834638315;0,762314234252401;0,527891093145614
"48";"bucuresti";"sector6";0,722515043288248;27756,8604180046;-1,01651223708805e-16;1;0,373695858623287;0,971464404016991;3,27475483443444e-19;1;0,438778504914211;1,90491677576735e-18;0;0,999999999999998;0,240729508533951;0,932269593349573;0,731177272205699
"49";"hunedoara";"hunedoara";0,722509936525261;3788,84210713847;1;0,255495249858589;0,391717100918738;0,875044300673207;1;0,687772401049511;0,763751028917725;0,0740509356485381;1;1;0,0461832061981244;0,809198202751727;0,698971844980515
"50";"neamt";"roman";0,720826061461548;2641,82751525658;0,155484361474466;0,718971146784792;0,552408724514099;1;0,446059548266446;1;1;0;1;0,495957098384505;0,323989530598379;0,656487312659253;1
"51";"neamt";"piatra-neamt";0,716487722409504;5061,98575882315;1;1;0,554484247040098;1;1;1;0,767992043400096;0,00714408125806747;-9,45175155912654e-18;1;0,0158729492020175;0,902869634822219;1
"52";"brasov";"brasov";0,708195797862937;17726,8490163072;0,999999999999999;0,428718175439511;1;1;0,899724558754786;1;0,546908314554318;3,46944695195361e-18;1;0,680055642891525;0,28275033440647;1;0,823546841897043
"53";"caras-severin";"caransebes";0,706674535657357;1893,88775556172;-2,04871598695344e-16;0,825454007494087;0,797691907040001;0,252474045156318;0,802117591881807;1;0,165490492654236;0;0,593599420555547;1;0,705073620219765;0,565624472001262;0,413230669266819
"54";"alba";"sebes";0,704412138919299;1842,74215541289;1;1;1;1;1;0,667298450988321;1;0,071455753717697;-1,79604483460989e-16;1,19613359277176e-15;0,565713249470568;1;1
"55";"caras-severin";"resita";0,701877432187686;4779,78531319814;-1,0173705466715e-16;0,656251652364694;0,678720766937923;0,795958381990008;0,490440518339444;1;1;0,00701587733117185;9,42171900520199e-17;-2,62742569601984e-17;0,0794320450371085;1;0,741050006317306
"56";"dambovita";"tirgoviste";0,68969573232376;5194,78825586256;1;1;0;1;9,90977604760953e-17;1;0,956702761685921;-6,34245256240653e-18;1;0,999999999999998;0,130970892205213;0,874888776168381;1
"57";"teleorman";"alexandria";0,681551786669108;2286,60624427486;1;1;0,303558789407261;1;1,64515141908718e-16;0,670197631989115;0,815956223284341;-1,0842021724855e-19;1;1;0,081603849100326;0,869638223281595;0,770775363027049
"58";"suceava";"suceava";0,669247688349177;5519,95493350401;0,787240551202412;0,990993229918977;0,701948903722463;-4,29132397185883e-17;1,11733200640625e-16;1;0,857212960547865;2,01843369318286e-18;0;-2,90502383766235e-16;0,221249748757174;1;0,967805475262661
"59";"constanta";"mangalia";0,667641678090216;2086,38024403193;1;1;0,739127619512151;0,0399499464663369;1;0,987563191695648;1;1,41532679981558e-18;1;7,90495629516398e-15;0;0,959019527078908;0,92268849088103
